org,channel,product,planner
org1,Non Revenue,A B K,user1
org1,Non Revenue,A B L,user1
org1,Non Revenue,M OAZP,user1
org1,Non Revenue,M OAZT,user1
org1,Non Revenue,M OAZS,user1
org1,Non Revenue,B C C,user1
org1,Non Revenue,B C E,user3
org1,Non Revenue,O B G,user1
org1,Non Revenue,O B GF,user1
org1,Non Revenue,O B FB,user3
org1,Non Revenue,O B FC,user1
org1,Non Revenue,O B BE,user2
org1,Non Revenue,O B BC,user3
org1,Non Revenue,O B BH,user1
org1,Non Revenue,B PABA,user1
org1,Non Revenue,B PARF,user1
org1,Non Revenue,B PARG,user1
org1,Non Revenue,B PABB,user1
org1,Non Revenue,B PARJ,user2
org1,Non Revenue,B PARH,user1
org1,Non Revenue,B PARB,user2
org1,Non Revenue,B PBFH,user2
org1,Non Revenue,B PBCC,user2
org1,Non Revenue,B PBBH,user1
org1,Non Revenue,B PBBP,user1
org1,Non Revenue,B PDBM,user1
org1,Non Revenue,B PDGG,user2
org1,Non Revenue,B PDGB,user3
org1,Non Revenue,M AABC,user2
org1,Non Revenue,M AAFH,user1
org1,Non Revenue,M AAFI,user1
org1,Non Revenue,M AAFE,user1
org1,Non Revenue,M ABB,user3
org1,Non Revenue,M ABE,user3
org1,Non Revenue,M AAFM,user1
org1,Non Revenue,M ABG,user3
org1,Non Revenue,RDA D,user2
org1,Non Revenue,ONEQDT,user1
org1,Non Revenue,ONREDT,user1
org1,Non Revenue,ONCKDT,user1
org1,Non Revenue,ONHSDT,user1
org1,Non Revenue,ONGSDT,user2
org1,Non Revenue,ONVADT,user1
org1,Non Revenue,D F A,user1
org1,Non Revenue,C D P,user1
org1,Non Revenue,C D C,user2
org1,Non Revenue,C D E,user1
org1,Non Revenue,C D RN,user1
org1,Non Revenue,CAS AM,user1
org1,Non Revenue,MBAAA,user1
org1,Non Revenue,MBAAAA,user1
org1,Non Revenue,MBAABA,user2
org1,Non Revenue,MBABA,user1
org1,Non Revenue,MBABBA,user1
org1,Non Revenue,MBBBA,user1
org1,Non Revenue,MBABC,user1
org1,Non Revenue,MBABD,user1
org1,Non Revenue,MBBFA,user3
org1,Non Revenue,MBBFBA,user1
org1,Non Revenue,MBBFB,user1
org1,Non Revenue,MBBFBB,user1
org1,Non Revenue,MBBEA,user1
org1,Non Revenue,MBBEB,user1
org1,Non Revenue,MBADA,user2
org1,Non Revenue,MBADAA,user1
org1,Non Revenue,MBADB,user3
org1,Non Revenue,MBADBA,user1
org1,Non Revenue,MBBCA,user1
org1,Non Revenue,MBBCB,user1
org1,Non Revenue,GSC D,user3
org1,Non Revenue,MBBGA,user3
org1,Non Revenue,MBBGB,user3
org1,Non Revenue,A G AA,user2
org1,Non Revenue,A G AG,user3
org1,Non Revenue,A G AH,user2
org1,Non Revenue,MACCFG,user1
org1,Non Revenue,MACCFM,user1
org1,Non Revenue,MACCGM,user2
org1,Non Revenue,MACCGG,user1
org1,Non Revenue,MACAHP,user1
org1,Non Revenue,A R CP,user1
org1,Non Revenue,A R DT,user3
org1,Non Revenue,MTL CA,user3
org1,Non Revenue,F A B,user1
org1,Non Revenue,F A C,user1
org1,Non Revenue,F CCG,user1
org1,Non Revenue,MAI F,user1
org1,Non Revenue,F Y F,user1
org1,Non Revenue,F Y G,user1
org1,Non Revenue,ONIIDT,user1
org1,Non Revenue,M JBC,user3
org1,Non Revenue,H P A,user1
org1,Non Revenue,O B P,user1
org1,Non Revenue,O B HE,user3
